Group,Fandom,Stage Name,Korean Stage Name,Full Name,Date of Birth,Former Group,Instagram
CLC,,Seungyeon,승연,Jang Seunyeon,1996-11-06,,
CLC,,Sorn,손,Chonnasorn Sajakul,1996-11-18,,
CLC,,YeeEun,예은,Jang Yeeun,1998-08-10,,
Clear:I,,Sang,상,Cui Xiang,1995-01-26,"BOTOPASS, ILUV",
CMDM,,Byunghoon,병훈,Choi Byunghoon,2000-04-26,,
CMDM,,Heeju,희주,Chae Heeju,2003-04-04,,
CMDM,,Hyunhah,현하,Kim Hyunhah,2000-05-09,,
CMDM,,Junhyoung,준형,Oh Junhyoung,2001-04-14,,
CMDM,,Nohyul,노율,Lee Nohyul,2004-06-18,,
CMDM,,Seungho,승호,Kim Seungho,2004-07-19,,
CNBLUE,,Jonghyun,종현,Lee Jonghyun,1990-05-15,,
CNBLUE,,Jungshin,정신,Lee Jungshin,1991-09-15,,
CNBLUE,,Minhyuk,민혁,Kang Minhyuk,1991-06-28,,
CNBLUE,,Yonghwa,용화,Jung Yonghwa,1989-06-22,,
CRAVITY,,Allen,앨런,Allen Ma,1999-04-26,,
CRAVITY,,Hyeongjun,형준,Song Hyeongjun,2002-11-30,X1,
CRAVITY,,Jungmo,정모,Koo Jungmo,2000-02-05,,
CRAVITY,,Minhee,민희,Kang Minhee,2002-09-17,X1,
CRAVITY,,Seongmin,성민,Ahn Seongmin,2003-08-01,,
CRAVITY,,Serim,세림,Park Serim,1999-03-03,,
CRAVITY,,Taeyoung,태영,Kim Taeyoung,2003-01-27,,
CRAVITY,,Wonjin,원진,Ham Wonjin,2001-03-22,,
CRAVITY,,Woobin,우빈,Seo Woobin,2000-10-16,,
CRAXY,,ChaeY,채이,Song Chaeyeon,2003-01-06,,
CRAXY,,Hyejin,혜진,Kang Hyejin,2000-07-13,,
CRAXY,,Karin,카린,Baek Yerin,2000-04-23,,
CRAXY,,Swan,수안,Kim Suan,2000-12-28,,
Crayon Pop,,Choa,초아,Heo Minjin,1990-07-12,,
Crayon Pop,,Ellin,엘린,Kim Minyoung,1990-04-02,,hiellin
Crayon Pop,,Geummi,금미,Baek Boram,1988-06-18,,g.mi
Crayon Pop,,Soyul,소율,Park Hyekyeong,1991-05-15,,
Crayon Pop,,Way,웨이,Heo Minsun,1990-07-12,,baysunny
CROSS GENE,,Casper,캐스퍼,Chu Xiaoxiang,1991-03-20,,
CROSS GENE,,Sangmin,상민,Kim Sangmin,1992-07-07,,
CROSS GENE,,Seyoung,세영,Lee Seyoung,1990-02-08,,
CROSS GENE,,Shin,신,Shin Wonho,1991-10-23,,
CROSS GENE,,Takuya,타쿠야,Terada Takuya,1992-03-18,,
CROSS GENE,,Yongseok,용석,Kim Yongseok,1993-01-08,,
CSR,,Duna,두나,Kang Duna,2005-04-28,,
CSR,,Geumhee,금희,Han Geumhee,2005-03-04,,
CSR,,Seoyeon,서연,Ahn Seoyeon,2005-03-26,,
CSR,,Sihyeon,시현,Hwang Sihyeon,2005-03-12,,
CSR,,Sua,수아,Yoo Sua,2005-07-23,,
CSR,,Yeham,예함,Gu Yeham,2005-10-07,,
CSR,,Yuna,유나,Iimura Yuna,2005-04-23,,
D-CRUNCH,,Chanyoung,찬영,Kim Chanyoung,2000-11-20,,
D-CRUNCH,,Dylan,딜란,Park Yeonjae,2002-07-26,,
D-CRUNCH,,Hyunho,현호,Lee Hyunho,1998-11-04,,
D-CRUNCH,,Hyunoh,현우,Park Hyunoh,1999-02-12,,
D-CRUNCH,,Hyunwoo,현오,Baek Hyunwoo,1999-03-19,,
D-CRUNCH,,Hyunwook,현욱,Ji Hyunwook,1998-07-01,,
D-CRUNCH,,Jeongseung,정승,Park Jeongseung,2002-05-20,,
D-CRUNCH,,Minhyuk,민혁,Kim Minhyuk,1999-11-06,,
D-CRUNCH,,O.V,오뷔,Kim Sanchan,1999-01-03,,
D1CE,,Hyunsoo,현수,Kim Hyunsoo,1995-04-12,,
D1CE,,Jinyoung,진영,Woo Jinyoung,1997-05-31,,
D1CE,,Woodam,우담,Park Woodam,1995-08-02,,
D1CE,,Yonggeun,용근,Jo Yonggeun,1995-01-23,,
D1CE,,Yoojun,유준,Jun Yoojun,1995-07-26,,
Dal Shabet,,Ahyoung,아영,Cho Jayoung,1991-05-26,,
Dal Shabet,,Serri,세리,Park Miyeon,1990-09-16,,
Dal Shabet,,Subin,수빈,Park Subin,1994-02-12,,
Dal Shabet,,Woohee,우희,Bae Woohee,1991-11-21,,
Davichi,,Haeri,해리,Lee Haeri,1985-02-14,,
Davichi,,Minkyung,민경,Kang Minkyung,1990-08-03,,
DAY6,,Dowoon,도운,Yoon Dowoon,1995-08-25,,
DAY6,,Jae,제이,Park Jaehyung,1992-09-15,,
DAY6,,Sungjin,성진,Park Sungjin,1993-01-16,,
DAY6,,Wonpil,원필,Kim Wonpil,1994-04-28,,
DAY6,,Young K,영케이,Kang Young-hyun,1993-12-19,,
DIA,,Chaeyeon,채연,Jung Chaeyeon,1997-12-01,I.O.I,
DIA,,Eunchae,은채,Kwon Chaewon,1999-05-26,,
DIA,,Eunice,유니스,Heo Sooyeon,1991-09-02,,
DIA,,Huihyeon,희현,Ki Huihyeon,1995-06-16,,
DIA,,Jueun,주은,Lee Jooeun,1995-07-07,,
DIA,,Somyi,솜이,Ahn Somyi,2000-01-26,,
DIA,,Yebin,예빈,Baek Yebin,1997-07-13,,
DKB,,D1,디원,Jang Dongil,1998-02-15,,
DKB,,E-Chan,이찬,Lee Changmin,1997-02-19,,
DKB,,GK,지케이,Kim Kwanghyun,1998-09-29,,
DKB,,Harry-June,해리준,Han Harry-June,2004-01-01,,
DKB,,Heechan,희찬,Yang Heechan,1999-07-31,,
DKB,,Junseo,준서,Hwang Junseo,2001-01-16,,
DKB,,Lune,룬,Jung Sungmin,2000-02-27,,
DKB,,Teo,테오,Jang Sungsik,1997-10-22,,
DKB,,Yuku,유쿠,Amanumu Yuku,2002-05-12,,
Dongkiz,,Jaechan,재찬,Park Jaechan,2001-12-06,,
Dongkiz,,Jonghyeong,종형,Kim Jonghyeong,2002-04-13,,
Dongkiz,,Kyungyoon,경윤,Lee Kyungyoon,2000-02-21,,
Dongkiz,,Munik,문익,Jang Moonik,2001-03-20,,
Dongkiz,,Wondae,원대,Seol Wondae,1998-04-28,,
Dreamcatcher,,Dami,다미,Lee Yoobin,1997-03-07,Minx,
Dreamcatcher,,Gahyeon,가현,Lee Gahyeon,1999-02-03,,
Dreamcatcher,,Handong,한동,Han Dong,1996-03-26,,
Dreamcatcher,,Jiu,지유,Kim Minji,1994-05-17,Minx,
Dreamcatcher,,Siyeon,시연,Lee Siyeon,1995-10-01,Minx,
Dreamcatcher,,Sua,수아,Kim Bora,1994-08-10,Minx,
Dreamcatcher,,Yoohyeon,유현,Kim Yoohyeon,1997-01-07,Minx,
Dreamnote,,Boni,보니,Choi Euijeong,1999-10-30,,
Dreamnote,,Eunjo,은조,Park Eunjo,2002-03-07,,
Dreamnote,,Lara,라라,Moon Shinae,2000-08-09,,
Dreamnote,,Miso,미소,Jeon Jimin,2000-10-25,,
Dreamnote,,Sumin,수민,Park Sumin,2001-09-09,,
Dreamnote,,Youi,유아이,Kim Jihyeo,2000-04-24,,
DRIPPIN,,Alex,알렉스,Alexander Schmidt Lee,2004-10-06,,
DRIPPIN,,Changuk,창욱,Joo Changuk,2001-07-25,,
DRIPPIN,,Dongyun,동윤,Kim Dongyun,2002-02-18,,
DRIPPIN,,Junho,준호,Cha Junho,2002-07-09,X1,
DRIPPIN,,Lee Hyeop,이협,Lee Hyeop,1999-08-13,,
DRIPPIN,,Minseo,민서,Kim Minseo,2002-05-13,,
DRIPPIN,,Yunseong,윤성,Hwang Yunseong,2000-10-30,,
DUSTIN,,BEL,벨,Choi Sunghoon,2000-05-21,,
DUSTIN,,Daon,다온,Ahn Seonil,2000-12-10,,
DUSTIN,,Hwani,화니,Jo Sihyeon,1994-11-16,,
DUSTIN,,JJ,제이제이,Jun Jihyeok,1998-12-11,,
DUSTIN,,Kim Yoon,김윤,Kim Seongsu,1994-02-17,,
DUSTIN,,Seunghan,승한,Lee Seunghan,1996-02-22,,
DUSTIN,,Siu,시우,Hwang Inseok,1995-05-19,,
DXMON,,Hee,히,Shin Youngseo,2005-12-28,,
DXMON,,Minjae,민재,Baek Minjae,2003-07-09,,
DXMON,,TK,태극,Kim Taegeuk,2006-01-09,,
E'LAST,,Baekgyeul,백선우,Baek Sunwoo,1999-12-01,,
E'LAST,,Choi In,최인,Choi In,1996-02-11,,
E'LAST,,Rano,라노,Byun Yongseop,1998-12-10,,
E'LAST,,Romin,로민,Choi Youngmin,2001-04-24,,
E'LAST,,Seungyeop,승엽,Choi Seungyeop,1997-05-08,,
E'LAST,,Won Hyuk,원혁,Won Hyuk,2002-02-22,,
E'LAST,,Wonjun,원준,Lee Wonjun,2002-03-08,,
E'LAST,,Yejun,예준,Oh Yejun,2002-08-23,,
ENHYPEN,,Heeseung,희승,Lee Heeseung,2001-10-15,,
ENHYPEN,,Jake,제이크,Shim Jaeyoon,2002-11-15,,
ENHYPEN,,Jay,제이,Park Jongsung,2002-04-20,,
ENHYPEN,,Jungwon,정원,Yang Jungwon,2004-02-09,,
ENHYPEN,,Ni-Ki,니키,Nishimura Riki,2005-12-09,,
ENHYPEN,,Sunghoon,성훈,Park Sunghoon,2002-12-08,,
ENOi,,Dojin,도진,Jeon Yongtae,1997-03-07,,
ENOi,,Hamin,하민,Jo Hamin,1997-10-24,,
ENOi,,Laon,라온,Shin Kyuhyun,1995-12-19,,
EPEX,,A-min,아민,Cho Minwoo,2004-05-22,,
EPEX,,Ayden,에이든,Kwon Yejun,2005-01-24,,
EPEX,,Jeff,제프,Lee Jaeho,2005-04-21,,
EPEX,,Keum,금,Keum Donghyun,2003-05-14,,
EPEX,,Mu,뮤,Suh Kyungmin,2003-09-14,,
EPEX,,Wish,위시,Kwak Dawit,2002-06-11,,
EPEX,,Yewang,예왕,Seo Yewang,2005-03-12,,
Everglow,,Aisha,아샤,Heo Yoorim,2000-07-21,,
Everglow,,Mia,미아,Han Eunji,2000-01-13,,
Everglow,,Onda,온다,Jo Selim,2000-05-18,,
Everglow,,Sihyeon,시현,Kim Sihyeon,1999-08-05,,
Everglow,,Yiren,이런,Wang Yiren,2000-12-29,,
EVNNE,,Hanbin,한빈,Park Hanbin,2002-03-01,,
EVNNE,,Jeonghyeon,이정현,Lee Jeonghyeon,2002-09-11,,
EVNNE,,Jihoo,지후,Park Jihoo,2006-07-14,,
EVNNE,,Junghyun,문정현,Mun Junghyun,2005-03-31,,
EVNNE,,Seungeon,승언,Yoo Seungeon,2004-01-02,,
EVNNE,,Yunseo,윤서,Ji Yunseo,2004-10-15,,
EXID,,Hani,하니,Ahn Hee-yeon,1992-05-01,,ahnhani_92
EXID,,Hyerin,혜린,Seo Hyerin,1993-08-23,,hyeliniseo
EXID,,Junghwa,정화,Park Junghwa,1995-05-08,EXID,jeonghwa_0508
EXID,,LE,엘리,Ahn Hyejin,1991-12-10,,x_xellybabyx
EXID,,Solji,솔지,Heo Solji,1989-01-10,,soul.g_heo
EXO,,Baekhyun,백현,Byun Baekhyun,1992-05-06,,
EXO,,Chanyeol,찬열,Park Chanyeol,1992-11-27,,
EXO,,Chen,첸,Kim Jongdae,1992-09-21,,
EXO,,D.O.,디오,Do Kyungsoo,1993-01-12,,
EXO,,Kai,카이,Kim Jongin,1994-01-14,,
EXO,,Lay,레이,Zhang Yixing,1991-10-07,,
EXO,,Sehun,세훈,Oh Sehun,1994-04-12,,
EXO,,Suho,수호,Kim Junmyeon,1991-05-22,,
EXO,,Xiumin,시우민,Kim Minseok,1990-03-26,,
f(x),,Amber,엠버,Amber Josephine Liu,1992-09-18,,ajol_llama
f(x),,Krystal,크리스탈,Krystal Jung,1994-10-24,,vousmevoyez
f(x),,Luna,루나,Park Sunyoung,1993-08-12,,hermosavidaluna
f(x),,Victoria,빅토리아,Song Qian,1987-02-02,,victoria02_02
FANATICS,,Chaelin,채린,Lee Chaelin,1999-10-20,,
FANATICS,,Chiayi,지아이,Li Chiayi,2000-01-22,,
FANATICS,,Doah,도아,Kim Doah,2003-12-04,,
FANATICS,,Doi,도이,Kim Doi,1994-04-12,,
FANATICS,,Rayeon,나연,Lee Rayeon,2001-11-24,,
FANATICS,,Via,비아,Kim Via,2000-08-17,,
FANTASY BOYS,,Gyurae,규래,Kim Gyurae,2009-02-28,,
FANTASY BOYS,,Hanbin,한빈,Lee Hanbin,2001-11-20,,
FANTASY BOYS,,Hikari,히카리,Etani Hikari,2002-01-21,,
FANTASY BOYS,,Hikaru,히카루,Urabe Hikaru,2003-07-14,,
FANTASY BOYS,,Hyeontae,현태,Oh Hyeontae,2008-08-13,,
FANTASY BOYS,,K-Soul,소울,Liu Zekai,2000-10-19,,
FANTASY BOYS,,Kaedan,케이단,Kaedan Keonwoo Nam,2009-03-24,,
FANTASY BOYS,,Ling Qi,링치,Ling Qi,2002-06-04,,
FANTASY BOYS,,Minseo,민서,Kang Minseo,2001-07-22,,
FANTASY BOYS,,Sungmin,성민,Hong Sungmin,2004-09-17,,
FAVE1,,Chanyong,찬용,Kim Chanyong,1993-04-29,100%,
FAVE1,,Hyukjin,혁진,Jang Hyukjin,1993-12-20,100%,
FAVE1,,Jonghwan,종환,Jo Jonghwan,1992-11-23,100%,
FAVE1,,Rokhyun,록현,Kim Rokhyun,1991-02-10,100%,
Favorite,,Ahra,아라,Go Ahra,2001-02-21,,
Favorite,,Gaeul,가을,Park Gaeul,1999-05-08,,
Favorite,,Jeonghee,정희,Go Jeonghee,2000-03-11,,
Favorite,,Saebom,새봄,Kim Seyoung,1995-01-13,,
Favorite,,Seoyeon,서연,Kim Minju,1995-11-26,,
Favorite,,Sugyeong,수경,Jo Sugyeong,2000-01-12,,
Fiestar,,Cao Lu,차오루,Cao Lu,1987-08-30,,better_me_lulu
Fiestar,,Hyemi,혜미,Kim Hyemi,1990-08-10,,hyemi_haaaaam
Fiestar,,Jei,재이,Kim Jinhee,1989-09-05,,kimjeii
Fiestar,,Linzy,린지,Im Minji,1989-10-22,,linzy_minji
Fiestar,,Yezi,예지,Lee Yeji,1994-08-26,,-
FIFTY FIFTY,,Aran,아란,Jeong Eunah,2004-10-11,,
FIFTY FIFTY,,Keena,키나,Song Jakyung,2002-07-09,,
FIFTY FIFTY,,Saena,새나,Jung Sehyun,2004-03-12,,
FIFTY FIFTY,,Sio,시오,Jeong Jiho,2004-10-06,,
fromis_9,,Chaeyoung,채영,Lee Chaeyoung,2000-05-14,,
fromis_9,,Hayoung,하영,Song Hayoung,1997-09-29,,
fromis_9,,Jiheon,지헌,Baek Jiheon,2003-04-17,,
fromis_9,,Jisun,지선,Roh Jisun,1998-11-23,,
fromis_9,,Jiwon,지원,Park Jiwon,1998-03-20,,
fromis_9,,Nakyung,나경,Lee Nakyung,2000-06-01,,
fromis_9,,Saerom,새롬,Lee Saerom,1997-01-07,,
fromis_9,,Seoyeon,서연,Lee Seoyeon,2000-01-22,,
FTISLAND,,Honggi,홍기,Lee Honggi,1990-03-02,,
FTISLAND,,Jaejin,재진,Lee Jaejin,1991-12-17,,
FTISLAND,,Jonghoon,종훈,Choi Jonghoon,1990-03-07,,
FTISLAND,,Minhwan,민환,Choi Minhwan,1992-11-11,,
FTISLAND,,Seunghyun,승현,Song Seungyun,1992-08-21,,
G-reyish,,Shinyoung,신영,Park Shinyoung,2000-03-19,,
G-reyish,,Yena,예나,Jeong Yena,2000-04-10,,
G-reyish,,Yeso,예소,Lee Yeso,2001-11-13,,
Gate9,,Gaga,가가,Lee Soobin,1994-11-10,,gagag9
Gate9,,Haeyeon,해연,Lee Taeyeon,1994-01-11,,ha2y2on_gnine
Gate9,,Haru,하루,Han Sangsook,1994-07-06,,hanharuuu
Gate9,,Juju,쥬쥬,Park Juyoung,1996-01-03,,baby.juju_0
Gate9,,Kady,케이디,Gu Dokyoung,1995-04-07,,kady_g9
Gate9,,Taera,태라,Lee Yujin,1994-04-12,,taera9nine
Gate9,,Vivian,비비안,Park Sunghee,1998-12-08,,vivian__g9
Gate9,,Yeori,여리,Kim Soyeon,1994-05-30,,yeori_g9
Gate9,,Yoon,윤,Ji Hayoon,1997-07-08,,queenyunista
Geenius,,Andamiro,안다미로,Yeon Seongju,2003-05-06,,
Geenius,,Mika,미카,Yu Dahyun,2002-01-08,,
Geenius,,Sion,시온,Ryu Sion,2001-03-07,,
Geenius,,Yeyoung,예영,Choi Yeyoung,2000-05-31,,
Gfriend,,Sowon,소원,Kim Sojung,1995-12-07,,
Gfriend,,Yerin,예린,Jung Yerin,1996-08-19,,
Gfriend,,Yuju,유주,Choi Yuna,1997-10-04,,
Ghost9,,Junhyung,준형,Son Junhyung,2000-10-21,,
Ghost9,,Junseong,준성,Choi Junseong,2002-09-29,,
Ghost9,,Kangsung,강성,Lee Kangsung,2002-08-08,,
Ghost9,,Prince,프린스,Pasidh Vataniyapromote,2003-01-10,,
Ghost9,,Shin,신,Kim Suhyun,2000-03-18,,
Ghost9,,Woojin,우진,Lee Woojin,2003-04-07,,
GIDONGDAE,,Kiwon,기원,Lee Kiwon,1996-06-27,RAINZ,kiwon_1810
GIDONGDAE,,Wonjin,원진,Won Jin,2003-01-01,,
GIDONGDAE,,Yehyeon,예현,Kim Yehyeon,1999-09-12,,
Girl's Day,,Hyeri,혜리,Lee Hyeri,1994-06-09,,hyeri_0609
Girl's Day,,Minah,민아,Bang Minah,1993-05-13,,bbang_93
Girl's Day,,Sojin,소진,Park Sojin,1986-05-21,,ssozi_sojin
Girl's Day,,Yura,유라,Kim Ahyoung,1992-11-06,,yura_936
Girlkind,,Ellyn,엘린,Bang Sunhee,2002-10-19,,
Girlkind,,JK,지강,Kim Jikang,1998-03-17,,
Girlkind,,Medic Jin,메딕진,Bae Yujin,1996-08-25,,
Girlkind,,Sun J,썬제이,Jeon Heesun,2001-02-13,,
Girlkind,,Xeheun,세흔,Lee Seheun,1999-07-11,,
Girls' World,,Kyrin,카이린,Park Geumju,2000-02-23,,
Golden Child,,Bomin,보민,Choi Bomin,2000-08-24,,
Golden Child,,Daeyeol,대열,Lee Daeyeol,1993-02-11,,
Golden Child,,Jaehyun,재현,Bong Jaehyun,1999-01-04,,
Golden Child,,Jangjun,장준,Lee Jangjun,1997-03-03,,
Golden Child,,Jibeom,지범,Kim Jibeom,1999-02-03,,
Golden Child,,Joochan,주찬,Hong Joochan,1999-07-31,,
Golden Child,,Seungmin,승민,Bae Seungmin,1998-10-13,,
Golden Child,,TAG,태그,Son Youngtaek,1998-04-13,,
Golden Child,,Y,와이,Choi Sungyoon,1995-07-31,,
Good Day,,Heejin,희진,Song Heejin,1995-08-19,,
GOT7,,BamBam,뱀뱀,Kunpimook Bhuwakul,1997-05-02,,
GOT7,,Jackson,잭슨,Jackson Wang,1994-03-28,,
GOT7,,JB,제이비,Im Jaebum,1994-01-06,,
GOT7,,Jinyoung,진영,Park Jinyoung,1994-09-22,,
GOT7,,Mark,마크,Mark Yien Tuan,1993-09-04,,
GOT7,,Youngjae,영재,Choi Youngjae,1996-09-17,,
GOT7,,Yugyeom,유겸,Kim Yugyeom,1997-11-17,,
Gugudan,,Haebin,해빈,Han Haebin,1995-08-16,,
Gugudan,,Hana,하나,Shin Bora,1993-04-30,,
Gugudan,,Mimi,미미,Jung Mimi,1993-01-01,,
Gugudan,,Mina,미나,Kang Mina,1999-12-04,I.O.I,
Gugudan,,Nayoung,나영,Kim Nayoung,1995-11-23,,
Gugudan,,Sally,샐리,Liu Xiening,1996-10-23,,
Gugudan,,Sejeong,세정,Kim Sejeong,1996-08-28,I.O.I,
Gugudan,,Soyee,소이,Jang Sojin,1996-11-21,,
GWSN,,Anne,앤,Lee Seoyoung,2000-10-17,,
GWSN,,Lena,레나,Kang Rena,2002-04-17,,
GWSN,,Minju,민주,Kang Minjoo,2001-03-11,,
GWSN,,Miya,미야,Miyauchi Haruka,1993-05-26,,
GWSN,,Seokyoung,서경,Kim Seokyung,1999-04-16,,
GWSN,,Seoryoung,서령,Lee Seoryung,2000-01-26,,
GWSN,,Soso,소소,Wang Chingyi,2001-03-14,,
H.U.B,,Gracie,그레이시,Kim Gaeun,1996-10-28,,i.m_gracie
H.U.B,,Hyosun,효선,Lim Hyosun,1998-07-10,Kiwi Band,
H.U.B,,Keina,케이나,Lee Yoona,1999-02-12,,
H.U.B,,Rui,루이,Watanabe Rui,1994-10-08,N-Bulance,
H1-KEY,,Hwiseo,화서,Jo Hwihyeon,2002-07-31,,
H1-KEY,,Riina,리이나,Lee Seunghyeon,2001-02-21,,
H1-KEY,,Seoi,서이,Lee Yejin,2000-02-12,,
H1-KEY,,Yel,옐,Han Shinyoung,2004-12-25,,
Hashtag,,Aeji,애지,Kwon Aeji,1999-10-25,,
Hashtag,,Dajeong,다정,Kim Dajeong,1995-08-08,,
Hashtag,,Hyunji,현지,Kim Hyunji,1992-06-30,,
Hashtag,,Seungmin,승민,Lee Seungmin,1996-02-03,,
Hashtag,,Sojin,소진,Hong Sojin,1999-09-24,,
Hashtag,,Sua,수아,Yang Sua,1995-03-24,,
Hashtag,,Subin,수빈,Oh Subin,1998-09-30,,
HAWW,,Chanyoung,찬영,Jung Chanyoung,2004-01-31,,
HAWW,,Jeongeun,정근,Park Jeongeun,2003-04-17,,
HAWW,,Jimin,지민,Kim Jimin,2002-05-01,,
HAWW,,Juho,주호,Yang Zuho,2004-03-04,,
HAWW,,Louii,루이,Park Seonghoon,2004-03-06,,
HAWW,,Minyong,민용,Kang Minyong,2003-09-06,,
HAWW,,Seobin,서빈,Woo Seobin,2005-09-02,,
Hearts2Hearts,,Carmen,카르멘,Nyoman Ayu Carmenita,2006-03-28,,
Hearts2Hearts,,Haram,하람,Yoo Haram,2007-04-12,,
Hearts2Hearts,,Jiwoo,지우,Choi Jiwoo,2006-09-07,,
Hearts2Hearts,,Jooeun,주은,Kim Jooeun,2008-12-03,,
Hearts2Hearts,,Leean,이안,Jang Leean,2009-10-09,,
Hearts2Hearts,,Nayeon,나연,Kim Nayeon,2010-04-19,,
Hearts2Hearts,,Yuna,유나,Na Yuna,,,
Hello Venus,,Alice,앨리스,Song Joohee,1990-03-21,,jh.song_alice
Hello Venus,,Lime,라임,Kim Hyerim,1993-01-19,,hv_lime
Hello Venus,,Nara,나라,Kwon Nara,1991-03-13,,hv_nara
Hello Venus,,Seoyoung,서영,Lee Seoyoung,1994-06-27,,hv_seo0
Hello Venus,,Yeoreum,여름,Ahn Chaeyeon,1996-06-04,,
Hello Venus,,Yooyoung,유영,Lee Yooyoung,1995-01-23,,hv_u0
Hi-L,,Dakyung,다경,Jung Dakyung,2001-07-23,,
Hi-L,,Hayun,하윤,Choi Hayun,2004-01-16,,
Hi-L,,JooA,주아,Lee Juhyun,2002-03-04,,
Hi-L,,Lee Jin,이진,Shim Yerin,2001-03-12,,
Hi-L,,Soojung,수정,Hwang Soojung,2001-05-10,,
Hi-L,,Yeseul,예슬,Kim Yeseul,2004-03-24,,
Highlight,,Dongwoon,동운,Son Dongwoon,1991-06-06,Beast,
Highlight,,Doojoon,두준,Yoon Doojoon,1989-07-04,Beast,
Highlight,,Gikwang,기광,Lee Gikwang,1990-03-30,Beast,
Highlight,,Junhyung,준형,Yong Junyung,1989-12-19,Beast,
Highlight,,Yoseob,요섭,Yang Yoseob,1990-01-05,Beast,
Highteen,,Eunjin,은진,Moon Eunjin,1998-11-05,,
Highteen,,Hyebin,혜빈,Im Hyebin,1999-11-10,,
Highteen,,Hyejoo,혜주,Park Hyunjoo,1999-01-12,,
Highteen,,Sea,세아,Kim Sujeong,1999-12-05,,
Hinapia,,Bada,바다,Kim Bada,2002-05-28,,
Hinapia,,Eunwoo,은우,Jeong Eunwoo,1998-07-01,Pristin,
Hinapia,,Rena,레나,Kang Yebin,1998-10-19,Pristin,
Hinapia,,Roa,로아,Kim Minkyung,1997-07-29,Pristin,
Hinapia,,Yuha,유하,Kang Kyungwon,1997-11-05,Pristin,
HISTORY,,Dokyun,도균,Na Dokyun,1991-02-11,,
HISTORY,,Jaeho,재호,Kim Jaeho,1992-09-17,,
HISTORY,,Kyungil,경일,Song Kyungil,1987-11-28,,
HISTORY,,Sihyoung,시형,Kim Sihyoung,1992-05-15,,
HISTORY,,Yijeong,이정,Jang Yijeong,1993-09-10,,
Ho1iday,,Cheongeum,청음,Jang Cheongeum,1996-06-19,,
Ho1iday,,Dany,다니,Jeon Eunji,1998-01-20,,
Ho1iday,,Haru,하루,Lee Yoojeong,1997-02-26,MyB,
Ho1iday,,Heejoo,희주,Jeon Heejoo,1996-11-30,MyB,
Honey Popcorn,,Miko,미코,Matsuda Miko,1995-10-28,,
Honey Popcorn,,Moko,모코,Sakura Moko,1991-03-19,,
Honey Popcorn,,Yua,유아,Mikami Yua,1993-08-16,,
Hot Blood Youth,,Bin,빈,Kwon Soobin,1993-10-28,,
Hot Blood Youth,,Jisan,지산,Choi Jinsang,1999-11-03,,
Hot Blood Youth,,Kyuhyuk,규혁,Shim Kyuhyuk,1995-01-11,,
Hot Blood Youth,,Marco,마르코,Lee Hyunggeun,1994-05-11,,
Hot Blood Youth,,Taro,타로,Choi Wonjin,1994-11-09,,
HOT ISSUE,,Dain,다인,Jung Dain,2004-12-15,,
HOT ISSUE,,Dana,다나,Jang Dana,2003-12-25,,
HOT ISSUE,,Hyeongshin,형신,Kim Hyungshin,2002-05-03,,
HOT ISSUE,,Mayna,메이나,Simone Shaoxi Mengna,2000-05-12,,
HOT ISSUE,,Yebin,예빈,Kim Yebin,2004-11-01,,
HOT ISSUE,,Yewon,예원,Park Yewon,2004-01-11,,
HOTSHOT,,Hojung,호정,Go Hojung,1994-10-20,,
HOTSHOT,,Junhyuk,준혁,Choi Junhyuk,1992-04-21,,
HOTSHOT,,Taehyun,태현,Noh Taehyun,1993-10-15,,
HOTSHOT,,Timoteo,티모테오,Kim Moongyu,1993-01-25,,
HOTSHOT,,Yoonsan,윤산,Yoon Sanghyuk,1994-08-22,,
I-DLE,,Minnie,민니,Nicha Yontararak,1997-10-23,,
I-DLE,,Miyeon,미연,Jo Miyeon,1997-01-31,,
I-DLE,,Shuhua,슈화,Yeh Shuhua,2000-01-06,,
I-DLE,,Soyeon,소연,Jeon Soyeon,1998-08-26,,
I-DLE,,Yuqi,우기,Song Yuqi,1999-09-23,,
I.B.I,,Han Hyeri,한혜리,Han Hyeri,1997-08-24,,soh_eee
I.B.I,,Lee Haein,이해인,Lee Haein,1992-07-04,,
I.B.I,,Lee Suhyun,이수현,Lee Suhyun,1996-11-05,,
ICHILLIN',,Chowon,초원,Kim Chowon,2005-08-18,,
ICHILLIN',,E.Ji,이지,Choi Jiwon,2000-11-08,,
ICHILLIN',,Jackie,재키,Kang Chaeyeon,2001-11-17,,
ICHILLIN',,Jiyoon,지윤,Jeong Jiyoon,2000-09-15,,
ICHILLIN',,Yeju,예주,Kim Yeju,2004-02-01,,
iKON,,Bobby,바비,Kim Jiwon,1995-12-21,,
iKON,,Chan,찬,Jung Chanwoo,1998-01-26,,
iKON,,DK,디케이,Kim Donghyuk,1997-01-03,,
iKON,,Jay,제이,Kim Jinhwan,1994-02-07,,
iKON,,Ju-ne,준회,Koo Junhoe,1997-03-31,,
iKON,,Song,송,Song Yunhyeong,1995-02-08,,
ILLIT,,Iroha,이로하,Hokazuno Iroha,2008-02-04,,
ILLIT,,Minju,민주,Park Minju,2004-05-11,,
ILLIT,,Moka,모카,Sakai Moka,2004-10-08,,
ILLIT,,Wonhee,원희,Lee Wonhee,2007-06-26,,
ILLIT,,Yunah,윤아,Noh Yunah,2004-01-15,,
ILY:1,,Elva,엘바,Lee Yonghwa,2003-05-05,,
